latitude,longitude
35.22472,-115.30333
33.98528,-116.78056
35.24889,-115.345
34.19167,-116.875
34.18694,-116.90972
36.28278,-115.5775
34.18333,-116.85
34.28111,-117.33611
36.33,-115.76317
35.96667,-115.54722
35.23333,-115.3
34.00694,-116.27528
35.26667,-115.3
35.23222,-115.30056
34.27306,-117.33222
35.11667,-113.9
35.2359,-115.3015
34.269962,-117.330572
35.243611,-115.297778
36.167168,-115.446433
36.26397,-115.633728
35.243926,-115.297168
35.09,-113.88
36.6364,-114.021
36.6364,-114.021
35.05,-113.89
36.3848,-113.693
35.46,-114.22
35.0003,-113.907
35.0148,-113.819
36.5502,-114.031
36.3848,-113.693
36.63817,-114.01173
36.61652,-113.9767
36.64075,-114.017933
34.270078,-117.2798
34.499907,-118.116307
35.261981,-115.348022
34.30317,-117.337528
36.662188,-114.071075
36.16177,-115.449495
36.162804,-115.44136
34.299497,-117.124933
36.0963,-115.465675
36.1632,-115.450233
36.158434,-115.492805
36.33,-115.763333
36.270919,-115.585889
36.320398,-115.745144
36.1,-113.3656
36.687478,-114.018021
36.4,-113.7
35.0148,-113.8187
36.2406,-115.7358
36.63,-114.02
36.687478,-114.018021
36.384767,-113.69275
36.2406,-115.7358
36.33,-115.763167
36.125288,-115.477107
34.997663,-113.900549
36.160397,-115.497712
36.151918,-115.454128
36.164214,-115.449487
36.163086,-115.450195
36.166492,-115.50753
36.167302,-115.452669
36.182637,-115.505888
36.125708,-115.476953
36.126185,-115.475409
36.147297,-115.488512
36.160911,-115.500244
36.145218,-115.491301
36.124853,-115.479562
36.12622,-115.475991
36.156406,-115.496326
36.266496,-115.612762
36.135512,-115.428098
36.151918,-115.454128
36.123845,-115.48374
36.101683,-115.464013
35.099361,-113.882813
36.163097,-115.449958
36.168578,-115.50638
36.163656,-115.451497
36.147232,-115.488496
36.125356,-115.477009
36.156159,-115.497004
35.095842,-113.878297
35.098928,-113.88772
35.096364,-113.878472
35.097817,-113.885087
35.098697,-113.887878
35.46437,-114.202737
36.099789,-115.457131
35.147499,-113.940552
36.157531,-115.497667
34.183333,-116.85
35.2385,-115.3008
36.163831,-115.437387
36.099359,-115.473567
36.185154,-115.434766
35.998813,-115.492259
36.161454,-115.449545
36.161454,-115.449545
36.26888,-115.68638
